6oq5_E		_0_D_4_E_8_E_7_C_4_D_2_b_7_F_4_G	_5_E_10_E_5_F_16_C_5_E_4_b_1_E_8_E	0-7	2-9	DEECDbFGbGFhHbFCbIC	BAEEFCEbEE	0.861
5vi4_E		_0_D_4_E_8_E_7_C_4_D_2_b_7_F_4_G_1_b_7_G_2_F_2_h_0_H_4_b_1_F_0_-_3_C_0_-_1_b_0_-_0_-_5_I_0_-_0_-_12_C	_0_E_2_E_4_D_4_C_2_F_1_b_1_F_2_H_9_b_0_G_4_B_0_-_0_-_3_b_7_C_2_A_5_C_2_C_4_b_1_J_2_K_2_I_10_J_4_F_12_C	0-18	0-22	DEECDbFGbGFhHbFCbIC	EEDCFbFHbGBbCACCbJKIJFCFbFG	0.584
5xeq_B		_0_D_4_E_8_E_7_C_4_D_2_b_7_F_4_G_1_b_7_G_2_F_2_h_0_H_4_b_1_F_3_C_1_b_5_I_12_C	_5_D_12_E_7_E_12_C_8_E_0_-_9_F_9_E_0_-_8_C_4_C_0_-_5_H_0_-_5_B_17_C_4_b_1_G_6_H	0-18	8-22	DEECDbFGbGFhHbFCbIC	DDGECbFIDEECEFECCHBCbGH	0.599
3th3_T		_7_G_2_F_2_h_0_H_4_b_1_F_3_C_1_b_5_I_12_C	_0_G_2_F_0_-_5_H_0_-_5_F_3_B_1_d_6_H_6_C	9-18	0-7	DEECDbFGbGFhHbFCbIC	GFHFBdHCcAAgAA	0.694
3cka_A		_0_D_4_E_8_E_7_C_4_D_2_b_7_F_4_G_1_b_7_G_2_F_2_h_0_H_4_b_1_F_3_C_1_b_5_I_12_C	_5_F_5_E_5_F_5_D_7_E_0_-_4_E_3_G_0_-_2_G_4_F_0_-_8_E_0_-_4_E_2_G_0_-_5_E_11_B	0-18	13-26	DEECDbFGbGFhHbFCbIC	EHFFEEFGEFEFEFEFDEEGGFEEGEBh	0.551
5xau_A		_0_D_0_-_4_E_8_E_7_C_0_-_0_-_0_-_4_D_2_b_0_-_7_F_4_G_1_b_7_G_2_F_2_h_0_H_4_b_1_F_0_-_0_-_3_C_1_b_0_-_5_I_12_C	_5_D_9_G_2_G_5_G_15_C_10_b_5_H_2_A_5_D_18_d_1_J_7_I_4_G_0_-_2_G_2_F_5_A_14_G_0_-_5_E_2_F_4_b_2_C_4_b_2_e_7_H_2_A	0-18	9-33	DEECDbFGbGFhHbFCbIC	pqCCcHFFFDGGGCbHADdJIGGFAGEFbCbeHAbDcKGGGECGEECHE	0.457
6kyy_D		_0_D_0_-_4_E_0_-_8_E_7_C_4_D_0_-_2_b_7_F_4_G_1_b_0_-_7_G_2_F_2_h_0_H_4_b_0_-_1_F_3_C_0_-_1_b	_2_D_11_j_4_B_6_B_5_C_4_C_1_C_3_B_2_b_27_B_0_-_2_b_5_l_15_B_5_D_2_d_5_F_0_b_1_d_6_F_7_D_3_k_5_d	0-16	16-37	DEECDbFGbGFhHbFCbIC	CjDcjpDCDDBBAdDkDjBBCCCBbBblBDdFbdFDkdd	0.471
6rgp_A		_0_D_4_E_8_E_0_-_7_C_0_-_4_D_0_-_2_b_7_F_0_-_0_-_4_G_1_b_0_-_0_-_7_G_2_F_2_h_0_H_4_b_1_F_3_C_0_-_0_-_1_b_5_I_0_-_12_C	_6_E_8_C_3_G_4_b_5_C_7_b_15_F_5_F_4_c_2_F_6_b_5_b_0_F_4_b_10_C_16_C_4_G_6_D_0_-_4_E_0_-_2_G_1_C_4_F_6_G_7_b_2_E_21_b_19_C	0-18	1-27	DEECDbFGbGFhHbFCbIC	JECGbCbFFcFbbFbCCGDEGCFGbEbCCCebCDCDABDFdEfcg	0.436
6djp_A		_0_D_4_E_0_-_0_-_8_E_0_-_7_C_0_-_0_-_4_D_0_-_0_-_2_b_7_F_4_G_1_b_0_-_7_G_2_F_2_h_0_H_0_-_4_b_1_F_3_C_1_b_5_I_0_-_12_C	_8_D_2_E_3_A_8_A_2_E_2_D_20_C_4_D_3_c_3_D_0_e_14_A_5_b_7_D_8_E_2_c_2_D_6_E_10_D_0_-_8_E_3_B_5_B_2_F_5_F_7_b_0_E_8_E_9_D	0-18	8-35	DEECDbFGbGFhHbFCbIC	ICEEBBAADEAAEDCDcDeAbDEcDEDEBBFFbEEDAACDEbFIAAAJIBHHHAH	0.428
7olz_C		_4_D_2_b_7_F_4_G_1_b_7_G_2_F_2_h_0_H_4_b_1_F_3_C_1_b_5_I_12_C	_0_D_0_-_2_B_5_G_0_-_6_G_6_F_0_-_5_B_1_b_3_D_5_E_4_b_1_H_1_B	4-18	0-11	DEECDbFGbGFhHbFCbIC	DBGGFBbDEbHBBAD	0.600
8d8q_L		_7_C_4_D_2_b_7_F_4_G_1_b_7_G_0_-_2_F_2_h_0_H_4_b_1_F_3_C_1_b_5_I_12_C	_0_C_2_C_0_-_5_F_0_-_7_b_3_E_6_C_13_E_0_-_2_E_4_b_1_F_5_A_0_-_0_-_3_D	3-18	0-11	DEECDbFGbGFhHbFCbIC	CCFbECEEbFAD	0.500
