4pk1_A		_0_B_2_D_4_E_5_A_4_A_0_-_1_E_0_-_6_D_0_-_3_A_0_-_7_E_2_E_8_F_6_A_3_E_6_D_3_c_3_J_0_-_15_D_9_I	_16_C_3_D_6_E_5_A_7_A_3_C_5_E_4_F_5_E_3_E_5_C_5_B_15_D_5_D_5_D_11_B_2_E_3_D_0_-_6_E_10_B_2_E_4_E	0-17	18-39	BDEAAEDAEEFAEDcJDId	FdlGGFmGGEADDDGEEECDEAACEFEECBDDDBEDEBEE	0.572
3npf_B		_0_B_2_D_4_E_5_A_0_-_4_A_1_E_6_D_3_A_7_E_2_E_8_F_0_-_0_-_6_A_3_E_6_D_0_-_3_c_3_J_15_D_9_I_0_-_0_-_0_d	_3_E_2_D_5_D_2_A_2_h_2_C_3_D_8_E_3_G_2_D_5_D_3_B_0_e_5_h_3_A_4_A_2_A_2_f_9_c_4_B_13_E_8_I_2_D_2_D_9_d	0-18	3-27	BDEAAEDAEEFAEDcJDId	CDCEDDAhCDEGDDBehAAAfcBEIDDdEbc	0.453
8es4_E		_0_B_2_D_4_E_5_A_0_-_4_A_0_-_0_-_1_E_0_-_6_D_3_A_7_E_2_E_0_-_8_F_6_A_0_-_3_E_6_D_3_c_3_J_15_D_9_I_0_d	_12_C_8_D_4_C_8_B_3_B_5_A_3_A_13_c_6_B_4_B_4_C_22_C_8_E_4_D_3_C_13_C_10_B_2_H_2_H_7_D_5_b_4_F_4_E_5_H_1_b	0-18	25-49	BDEAAEDAEEFAEDcJDId	BBCCAGGDbEEBbEGGblbBDBBAbCDCBBAAcBBCCEDCCBHHDbFEHbDBEDDHBbbCACCFCJGbGKEH	0.524
1bfo_C		_0_B_2_D_4_E_5_A_4_A_1_E_6_D_3_A_7_E_2_E_0_-_8_F_6_A_3_E_6_D_3_c_3_J_0_-_0_-_15_D_9_I_0_d	_0_B_2_D_4_E_0_-_0_-_8_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_2_A_3_D_9_I_0_d	0-18	0-19	BDEAAEDAEEFAEDcJDId	BDEEDAEEbFAEDcJEADIdFE	0.813
5m11_A		_0_B_2_D_4_E_5_A_4_A_1_E_6_D_3_A_7_E_2_E_0_-_8_F_6_A_3_E_6_D_3_c_0_-_3_J_15_D_9_I	_2_E_3_E_6_D_5_C_4_C_4_D_3_D_6_B_6_D_5_D_7_A_14_D_2_D_13_D_4_D_0_g_8_E_7_K_2_E_13_H	0-17	22-41	BDEAAEDAEEFAEDcJDId	CEECBbFECCcFEEEEEEbBbFEEDCCDDBDDADDDDgEKEHDDDFFDDEDDbBAAFECDGEEBCDEBGG	0.601
5xeq_B		_0_B_2_D_4_E_5_A_4_A_0_-_1_E_0_-_6_D_3_A_7_E_0_-_2_E_8_F_6_A_3_E_6_D_3_c_3_J_0_-_15_D_0_-_9_I	_0_D_11_D_4_G_5_E_12_C_4_b_2_F_6_I_5_D_12_E_7_E_12_C_8_E_9_F_9_E_8_C_4_C_0_-_5_H_5_B_17_C_4_b_1_G	0-17	0-21	BDEAAEDAEEFAEDcJDId	DDGECbFIDEECEFECCHBCbGH	0.495
7okq_J		_0_B_2_D_4_E_5_A_4_A_1_E_6_D_3_A_7_E_2_E_8_F_6_A_0_-_3_E_6_D_3_c_0_-_0_-_3_J_15_D_0_-_0_-_9_I	_5_E_6_D_6_D_4_C_6_E_2_E_4_E_14_A_5_C_2_C_5_C_10_A_5_C_2_C_5_C_1_b_5_A_5_F_3_H_4_E_4_E_6_F_10_G	0-17	9-31	BDEAAEDAEEFAEDcJDId	hbgEFEEEEEDDCEEEACCCACCCbAFHEEFG	0.518
7qpt_B		_0_B_2_D_4_E_0_-_0_-_5_A_4_A_1_E_6_D_3_A_7_E_2_E_8_F_6_A_3_E_6_D_3_c_3_J_15_D_9_I_0_-_0_d	_2_C_2_D_6_F_7_I_5_j_18_E_6_C_8_C_4_C_3_C_6_E_10_H_2_F_8_A_0_-_1_B_1_b_7_B_6_C_5_H_4_E_0_e	0-18	15-35	BDEAAEDAEEFAEDcJDId	bFBCBCCcHbGGDCGCDFIjECCCCEHFABbBCHEeD	0.530
4rt6_A		_0_B_0_-_2_D_4_E_5_A_4_A_1_E_6_D_3_A_0_-_7_E_0_-_2_E_8_F_6_A_0_-_3_E_6_D_0_-_3_c_0_-_3_J_0_-_15_D_9_I	_7_C_2_J_8_C_2_C_1_A_2_A_1_D_2_C_4_C_2_D_3_E_4_B_2_D_2_E_10_A_4_A_2_D_6_C_12_C_0_h_3_C_4_H_2_b_2_D_5_I	0-17	21-45	BDEAAEDAEEFAEDcJDId	CEEEDEBCDBBDAACBDCKDDCJCCAADCCDEBDEAADCChCHbDICMbNKDBAdgbBDDJEbIEJFDCbFCCDEDBADDAAj	0.530
4yfd_B		_0_B_2_D_4_E_5_A_4_A_1_E_6_D_0_-_0_-_3_A_7_E_2_E_8_F_6_A_3_E_6_D_3_c_3_J_15_D	_13_D_5_C_14_E_2_A_0_-_6_B_3_C_8_J_2_K_9_A_21_C_8_D_12_C_2_B_5_C_1_C_4_d_3_D_3_D	0-16	13-30	BDEAAEDAEEFAEDcJDId	DCCbdGAbCCbGIDCEABCJKACDCBCCdDD	0.600
8hmd_A		_0_B_2_D_4_E_5_A_4_A_1_E_6_D_3_A_7_E_2_E_8_F_6_A_3_E_0_-_6_D_3_c_0_-_3_J_15_D_0_-_9_I	_4_E_6_D_2_D_7_C_4_E_6_D_3_D_7_C_4_E_11_D_3_D_10_A_4_E_1_b_1_E_0_b_0_E_4_F_4_E_15_F_3_G	0-17	7-27	BDEAAEDAEEFAEDcJDId	HDDDEFGEDDCEDDCEDDAEbEbEFEFGBCDDFEFFDEDEEDCCCDDDCCCAEEDigkikihhh	0.596
3qfy_A		_0_B_2_D_4_E_5_A_4_A_1_E_0_-_6_D_3_A_7_E_2_E_0_-_0_-_0_-_8_F_6_A_3_E_6_D_0_-_0_-_3_c_3_J_15_D_9_I_0_d	_4_C_9_C_4_E_6_B_6_B_14_E_2_B_12_E_3_G_2_G_6_I_5_K_1_e_1_c_5_C_7_C_9_F_5_D_0_d_5_b_1_d_12_J_0_-_4_J_2_b	0-18	1-24	BDEAAEDAEEFAEDcJDId	CCCEBBEBEGGIKecCCFDdbdJJbhmDdjAgjBBldAAkAAnoAAAhkAAAbbAkjjCCeBCGGCABG	0.464
6kyy_D		_0_B_2_D_4_E_5_A_0_-_4_A_0_-_1_E_0_-_6_D_0_-_3_A_7_E_2_E_8_F_6_A_3_E_0_-_6_D_3_c_0_-_3_J_15_D_0_-_9_I_0_-_0_d	_1_C_4_D_5_D_2_B_3_B_13_A_1_d_7_D_3_k_2_D_11_j_4_B_6_B_5_C_4_C_1_C_3_B_2_b_27_B_2_b_5_l_15_B_5_D_2_d_5_F_0_b_1_d	0-18	7-33	BDEAAEDAEEFAEDcJDId	CjDcjpDCDDBBAdDkDjBBCCCBbBblBDdFbdFDkdd	0.425
6efz_A		_0_B_2_D_0_-_4_E_0_-_5_A_4_A_1_E_6_D_3_A_0_-_0_-_7_E_2_E_0_-_8_F_6_A_3_E_6_D_3_c_3_J_15_D_9_I	_6_C_5_E_4_b_1_F_5_L_8_C_4_B_3_C_3_E_5_A_5_A_2_A_3_B_8_G_6_L_4_C_5_C_1_D_3_E_0_-_10_G_2_G_8_H	0-17	6-27	BDEAAEDAEEFAEDcJDId	ACGDDACEbFLCBCEAAABGLCCDEGGHJ	0.489
